French,English,Hindi
partie,part,भाग
histoire,history,इतिहास
chercher,search,पाना
seulement,only,केवल
police,police,पुलिस
pensais,thought,विचार
aide,help,सहायता
demande,request,पूछा
genre,kind,लिंग
mois,month,महीना
frÃ¨re,brother,प्रिय
laisser,let,होने देना
car,because,क्योंकि
mettre,to put,रखना
aucun,no,कोई नहीं
laisse,leash,अकेला छोड़ दो
eux,them,उन्हें
ville,city,शहर
chaque,each,प्रत्येक
parlÃ©,speak,बोला
arrivÃ©,come,पहुँचा
devrait,should,चाहिए
bÃ©bÃ©,baby,टाल
longtemps,long time,एक लंबे समय
heures,hours,घंटे
vont,will,जा रहे हैं
pendant,while,दौरान
revoir,meet again,फिर से देखिए
aucune,any,कोई नहीं
place,square,जगह
parle,speak,बोलना
compris,understood,समझा
savais,knew,जानता था
Ã©taient,were,थे
attention,Warning,ध्यान
voici,here is,यहाँ है
pourrais,could,सकना
affaire,case,मामला
donner,give,देना
type,type,दयालु
leurs,their,उनका
donnÃ©,given,दिया गया
train,train,रेलगाड़ी
corps,body,शरीर
endroit,place,जगह
yeux,eyes,आँखें
faÃ§on,way,रास्ता
Ã©coute,listen,नुकसान
dont,whose,जिसका कि
trouve,find,पाना
premier,first,पहला
perdu,lost,खोया
main,hand,हाथ
premiÃ¨re,first,पहला
cÃ´tÃ©,side,संग्रहित
pouvoir,power,शक्ति
vieux,old,पुराना
sois,be,होना
tiens,here,लेना
matin,morning,सुबह
tellement,so much,ऐसा
enfant,child,बच्चा
point,point,बिंदु
venu,came,आया
suite,after,अगले
pardon,sorry,क्षमा
venez,come,आना
devant,in front of,पहले
vers,towards,की ओर
minutes,minutes,मिनट
demandÃ©,request,का अनुरोध किया
chambre,bedroom,सोने का कमरा
mis,placed,रखना
belle,beautiful,सुंदर
droit,law,सही
aimerais,would like to,करना चाहेंगे
aujourd'hui,today,आज
mari,husband,पति
cause,cause,कारण
enfin,finally,आखिरकार
espÃ¨re,hope,विरोध
eau,water,पानी
attendez,Wait,इंतज़ार
parti,left,बाएं
nouvelle,new,नया
boulot,job,टमटम
arrÃªter,Stop,रुकना
dirait,would say,कहना होगा
terre,Earth,धरती
compte,account,खाता
donne,given,दिया गया
loin,far,दूर
fin,end,अंत
croire,believe,विश्वास करना
chÃ©rie,sweetheart,मल
gros,large,मोटा
plutÃ´t,rather,की अपेक्षा
aura,will have,होगा
filles,girls,लड़कियाँ
jouer,to play,खेल
bureau,office,मेज़